AppSetApp	c	APP	0xCFD0406ADAF90D2B		appName:string	
AppSetBlock	c	APP	0x262AB456A3D21F93		blockName:string	
AppSetFloat	c	APP	0x25D7687C68E0DAA4		property:string,value:number	
AppSetInt	c	APP	0x607E8E3D3E4F9611		property:string,value:integer	
AppSetString	c	APP	0x3FF2FCEC4B7721B4		property:string,value:string	
ApplyDamageToPed	c	PED	0x697157CED63F18D4		ped:Ped,damageAmount:integer,armorFirst:boolean	
ApplyForceToEntity	b	ENTITY	0xC5F68BE9613E2D18		entity:Entity,forceType:integer,x:number,y:number,z:number,offX:number,offY:number,offZ:number,boneIndex:integer,isDirectionRel:boolean,ignoreUpVec:boolean,isForceRel:boolean,p12:boolean,p13:boolean	
ApplyForceToEntityCenterOfMass	c	ENTITY	0x18FF00FC7EFF559E		entity:Entity,forceType:integer,x:number,y:number,z:number,p5:boolean,isDirectionRel:boolean,isForceRel:boolean,p8:boolean	
ApplyImpulseToCloth	c	PHYSICS	0xE37F721824571784		posX:number,posY:number,posZ:number,vecX:number,vecY:number,vecZ:number,impulse:number	
ApplyPedBlood	c	PED	0x83F7E01C7B769A26		ped:Ped,boneIndex:integer,xRot:number,yRot:number,zRot:number,woundType:string	
ApplyPedBloodByZone	c	PED	0x3311E47B91EDCBBC		ped:Ped,p1:any,p2:number,p3:number,p4:any	
ApplyPedBloodDamageByZone	c	PED	0x816F6981C60BF53B		ped:Ped,p1:any,p2:number,p3:number,p4:any	
ApplyPedBloodSpecific	c	PED	0xEF0D582CBF2D9B0F		ped:Ped,component:integer,u:number,v:number,rotation:number,scale:number,forcedFrame:integer,preAge:number,bloodName:string	
ApplyPedDamageDecal	c	PED	0x397C38AA7B4A5F83		ped:Ped,damageZone:integer,xOffset:number,yOffset:number,heading:number,scale:number,alpha:number,variation:integer,fadeIn:boolean,decalName:string	
ApplyPedDamagePack	c	PED	0x46DF918788CB093F		ped:Ped,damagePack:string,damage:number,mult:number	
ApplyPedOverlay	b	PED	0x5F5D1665E352A839		ped:Ped,collection:Hash,overlay:Hash	AddPedDecorationFromHashes
ApplyWeatherCycles	c	CFX	0x3422291C	boolean	numEntries:integer,msPerCycle:integer	
AreAllNavmeshRegionsLoaded	c	PATHFIND	0x8415D95B194A3AEA	boolean		
AreAllVehicleWindowsIntact	c	VEHICLE	0x11D862A3E977A9EF	boolean	vehicle:Vehicle	
AreAnyVehicleSeatsFree	c	VEHICLE	0x2D34FC3BC4ADB780	boolean	vehicle:Vehicle	
AreBombBayDoorsOpen	c	VEHICLE	0xD0917A423314BBA8	boolean	aircraft:Vehicle	
AreCoordsCollidingWithExterior	c	INTERIOR	0xEEA5AC2EDA7C33E8	boolean	x:number,y:number,z:number	IsCollisionMarkedOutside
